Agency Name,Agency Abbreviation
Ruth's House,Ruth's House
Sabathani Community Center,Sabathani
"Safari Services, LLC",Safari Services
Sanford Health of Northern Minnesota,Sanford Health
Scott Carver Dakota CAP,SCD CAP
Scott County,Scott County
Scott County Community Development Agency,Scott County CDA
Semcac,Semcac
Servants of Shelter of Koochiching County,SoS
Sherburne County Health and Human Services,Sherburne Co
Simpson Housing Services,Simpson
Sisters of Synergy Home Care Services,SSHCS
"Skyline, Incc.",SkyLine
Solid Ground,Solid Ground
South Central Minnesota Multi-County HRA,SCMMCHRA
SouthEast Homes,SEH
Southern Minnesota Regional Legal Services,SMRLS
Southwest Minnesota Housing Partnership,SWMHP
Spero,Spero
St. Andrew's Community Resource Center,St. Andrew's
St. Cloud Housing and Redevelopment Authority,St. Cloud HRA
St. Croix Family Resource Center,St. Croix FRC
St. Louis County Public Health and Human Services,St. Louis County PHHS
St. Paul Public Housing Agency,SPPHA
"Start Today Hennepin, LLC",Start Today
Stearns County Human Services,Stearns Co
Steele County Transitional Housing,Steele County TH
Step Forward Outreach Services,Step Forward
Stepping Stone Emergency Housing,Stepping Stone
Steps of Strategy,Steps of Strategy
Supportive Living Solutions,Supportive Living Solutions
Synergy Housing Services LLC,Synergy
"Tasks Unlimited, Inc.",Tasks Unlimited
The Aliveness Project,The Aliveness Project
The Dignity Center,Dignity Center
The Experience of Neshama,The Experience of Neshama
The Landing MN,The Landing
The Link,The Link
The Salvation Army,TSA
"The Wayside House, Inc.",Wayside House
Theresa Living Center,Theresa Living Center
"Three Rivers Community Action, Inc.",Three Rivers
Touchstone Mental Health,Touchstone MH
Tri-County Action Program,TriCAP
Tri-Valley Opportunity Council,TVOC
Twin Cities Recovery Project Inc,TCRP
Unified Social Services,USS
Union Gospel Mission - Duluth,UGM Duluth
Union Gospel Mission Twin Cities,UGM-TC
United Community Action Partnership,UCAP
Upper Sioux Community,USC
Vail Place,Vail Place
Valley Outreach,Valley Outreach
"VEAP, Inc.",VEAP
Vinland National Center/LivingWorks Ventures,Vinland National Center
Voices For Ethnic & Multicultural Awareness,VEMA
Volunteers of America of MN and WI,VOA
Washington County Community Services,WCCS
WeCare,WeCare
"West Central MN Communities Action, Inc.",WCMCA
White Earth Reservation Tribal Council,White Earth
Women's Advocates,Women's Advocates
Wright County Community Action,WCCA
YMCA of the North,YMCA of the North
YouthLink,YouthLink
YWCA of Duluth,YWCA Duluth
YWCA of St. Paul,YWCA of St. Paul
Zumbro Valley Health Center,ZVHC
